dist_code,state_code,state_name,female_judge,district_name
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,1 female,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,-9998 unclear,Dahod
22,17,Gujarat,0 nonfemale,Dahod
22,17,Gujarat,1 female,Dahod
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,1 female,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,-9998 unclear,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
23,17,Gujarat,0 nonfemale,Jamnagar
